Added by Katie,ImportRange formula in cell B3,,,,,Added by Katie,,,,,,,,,0,0,0
,,,,,,,,PRODUCT MATERIAL & COMPONENT VALUES,,,Packaging only,,,,RESULTS FOR CHARTS,,
Category Assigned for selection list,Material category,Material name,Impact value (multiply),Impact value (add),Impact unit,Auto-list taken from column E,,Density value,Density unit,Unit weight (g),Manufacturing Process,,,,Baseline *Please Make a Copy Before Editing*,*Design 01*,*Design 02*
EE - PCB,Rigid PCB,"Dongle, 4 layer",0.000268,,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.001105776226,,,"Dongle, 4 layer",,,,
EE - PCB,Rigid PCB,"Sensor Module, 2 layer",0.000176,,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.001587356362,,,"Sensor Module, 2 layer",,,,
EE - PCB,Rigid PCB,"Generic, 1 layer",0.000096,,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.001828854,,,"Generic, 1 layer",,,,
EE - PCB,Rigid PCB,"Generic, 2 layer",0.000125,,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.001828854,,,"Generic, 2 layer",,,,
EE - PCB,Rigid PCB,"Generic, 4 layer",0.000152,,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.001828854,,,"Generic, 4 layer",,,,
EE - PCB,Rigid PCB,"Generic, 6 layer",0.000229,,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.001828854,,,"Generic, 6 layer",,,,
EE - PCB,Rigid PCB,"Generic, 8 layer",0.000305,,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.001828854,,,"Generic, 8 layer",,,,
EE - PCB,Rigid PCB,"Generic, 10 layer",0.000360,,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.001828854,,,"Generic, 10 layer",,,,
EE - PCB,Rigid PCB,"Generic, 12 layer",0.000416,,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.001828854,,,"Generic, 12 layer",,,,
EE - PCB,Rigid PCB,"Generic, 16 layer",0.000526,,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.001828854,,,"Generic, 16 layer",,,,
EE - PCB,Flexible PCB,"Membrane, 10% Ink",0.000004,-0.00010500,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.000293982,,,"Membrane, 10% Ink",,,,
EE - PCB,Flexible PCB,"Membrane, 20% Ink",0.000005,0.00067400,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.000293982,,,"Membrane, 20% Ink",,,,
EE - PCB,Flexible PCB,"Membrane, 40% Ink",0.000008,0.00005580,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.000293982,,,"Membrane, 40% Ink",,,,
EE - PCB,Flexible PCB,"Membrane, 60% Ink",0.000011,-0.00011800,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.000293982,,,"Membrane, 60% Ink",,,,
EE - PCB,Connector,"Connector, Plug",0.005129,,kgCO2e/g,g,TRUE, ,  ,1,,,"Connector, Plug",,,,
EE - PCB,Connector,FPC Connector,0.031460,,kgCO2e/g,g,TRUE, ,  ,1,,,FPC Connector,,,,
Others,Microphone,Microphone,0.010650,,kgCO2e/pcs,pcs,TRUE, ,  ,0.05,,,Microphone,,,,
EE - Other,Solder,Solder Paste,0.007390,,kgCO2e/g,g,TRUE, ,  ,1,,,Solder Paste,,,,
